Station Name,Waterway,Year,Phosphorous_Average,Phosphorous_Min,Phosphorous_Max,x,y,NO2_NO3_Average,NO2_NO3_Min,NO2_NO3_Max,Fecal_Coliform_Average,Fecal_Coliform_Min,Fecal_Coliform_Max,Chlorophyll-A_Average,Chlorophyll-A_Min,Chlorophyll-A_Max,NH3_Average,NH3_Min,NH3_Max,Chloride_Average,Chloride_Min,Chloride_Max,TKN_Average,TKN_Min,TKN_Max,Total_Dissolved_Solids_Average,Total_Dissolved_Solids_Min,Total_Dissolved_Solids_Max,SO4_Average,SO4_Min,SO4_Max,Suspended_Solids_Average,Suspended_Solids_Min,Suspended_Solids_Max,TOC_Average,TOC_Min,TOC_Max
Devon Avenue,Salt Creek,2005,1.98,0.34,3.62,-9795587.075606022,5159923.790866642,8.19,1.5,15.62,1360.0,60.0,14000.0,15.0,4,36.0,0.19,0.02,0.9,245.0,113,669.0,1,1,3,851.0,520.0,1362.0,83.0,61,116.0,14,4,37,7,5,9
Diversey Parkway,North Branch Chicago River,2005,0.87,0.42,1.77,-9760793.273420712,5150867.342273781,6.04,2.88,7.81,4800.0,860.0,57000.0,3.0,1,6.0,1.09,0.11,3.55,116.0,67,421.0,2,1,5,557.0,336.0,852.0,51.0,38,67.0,13,4,34,6,3,10
Dundee Road,West Fork North Branch Chicago River,2005,1.51,0.33,3.58,-9777719.3660057,5181767.818476338,7.14,1.47,15.61,1505.0,400.0,3200.0,15.0,4,22.0,0.23,&lt RL,0.39,397.0,180,850.0,1,1,2,1018.0,576.0,1666.0,63.0,54,73.0,32,18,53,6,5,8
Elmhurst Road,Higgins Creek,2005,0.1,&lt RL,0.14,-9789503.463971144,5164194.269628853,0.44,0.22,0.93,4805.0,150.0,20000.0,14.0,9,19.0,0.12,0.02,0.21,430.0,251,802.0,1,1,2,1081.0,602.0,1576.0,47.0,27,72.0,29,21,38,8,7,10
Ewing Avenue,Calumet River,2005,0.02,&lt RL,0.1,-9745075.86152176,5120263.120285954,0.37,0.22,0.56,10.0,9.0,60.0,1.0,0,1.0,0.11,0.01,0.25,26.0,12,81.0,0,0,0,217.0,133.0,312.0,27.0,22,33.0,7,2,22,2,1,3
Foster Avenue,North Shore Channel,2005,1.26,0.64,1.86,-9763248.504184216,5157380.484896455,5.98,3.45,9.14,8500.0,2200.0,280000.0,2.0,0,13.0,2.18,0.36,7.81,94.0,62,574.0,4,2,9,545.0,346.0,1126.0,60.0,36,184.0,12,&lt RL,22,7,4,13
Frontage Road,Skokie River,2005,1.54,0.19,2.9,-9769467.187323028,5174142.560835846,7.0,0.07,11.15,190.0,30.0,1200.0,16.0,2,33.0,0.15,&lt RL,0.38,217.0,113,435.0,1,1,3,677.0,502.0,890.0,63.0,42,84.0,18,7,36,6,3,7
Glenview Road,North Branch Chicago River,2005,1.41,0.27,2.99,-9770990.71844705,5171319.185344051,5.93,0.17,9.87,530.0,60.0,3500.0,10.0,1,30.0,0.14,0.02,0.25,238.0,127,500.0,1,1,2,737.0,520.0,1166.0,65.0,46,88.0,19,&lt RL,54,6,4,8
Golf Road,West Fork North Branch Chicago River,2005,0.83,0.31,1.22,-9771841.694236573,5169273.313312094,3.88,0.92,7.08,640.0,130.0,4700.0,29.0,5,123.0,0.27,0.04,0.83,466.0,180,1346.0,1,1,2,1202.0,508.0,2354.0,75.0,56,98.0,30,8,68,7,5,10
Grand Avenue,North Branch Chicago River,2005,1.12,0.61,1.74,-9756156.248665707,5144758.297382973,5.77,3.9,8.74,1650.0,600.0,13000.0,4.0,2,8.0,1.62,0.59,4.62,119.0,69,553.0,3,1,6,582.0,342.0,1116.0,54.0,40,71.0,15,&lt RL,31,6,3,10
Halsted Street,Little Calumet River,2005,2.08,1.4,3.73,-9756147.689317685,5109826.122291395,5.33,2.5,9.59,2500.0,710.0,13000.0,7.0,0,21.0,0.29,0.1,0.62,139.0,60,467.0,1,1,2,548.0,198.0,1098.0,91.0,52,125.0,11,2,22,6,3,9
Harlem Avenue,Chicago Sanitary and Ship Canal,2005,0.99,0.19,2.09,-9774026.337077957,5131234.839862472,7.67,3.85,11.5,3200.0,200.0,20000.0,4.0,1,9.0,0.94,0.19,3.36,122.0,56,320.0,2,1,4,520.0,310.0,852.0,71.0,42,100.0,10,3,14,6,4,10
Higgins Road,Salt Creek,2005,0.11,0,0.22,-9797375.60963822,5165675.359292448,0.27,0.01,0.64,130.0,10.0,330000.0,31.0,17,44.0,0.1,0.03,0.24,371.0,162,856.0,1,1,2,1034.0,460.0,1796.0,79.0,37,130.0,41,10,91,8,5,12
Indiana Avenue,Little Calumet River,2005,0.37,0.03,1.16,-9753472.18145782,5108772.571885121,1.37,0.23,3.24,70.0,20.0,480.0,16.0,2,38.0,0.2,0.04,0.75,59.0,27,176.0,1,0,2,345.0,172.0,616.0,64.0,30,129.0,25,4,44,4,2,8
Joe Orr Road,Thorn Creek,2005,2.11,0.93,5.03,-9754419.852949658,5089457.720876058,6.39,1.05,9.47,11400.0,3400.0,200000.0,12.0,1,58.0,0.24,0.04,0.48,202.0,68,394.0,2,1,3,1178.0,306.0,1896.0,478.0,103,758.0,115,3,676,8,6,11
Lake Shore Drive,Chicago River,2005,0.16,&lt RL,0.59,-9753112.184339533,5144283.186382862,1.07,0.26,3.09,35.0,10.0,4300.0,3.0,0,16.0,0.4,0.05,1.59,20.0,13,250.0,1,0,2,269.0,166.0,516.0,30.0,21,48.0,5,&lt RL,14,3,1,6
Lake Street,West Branch Du Page River,2005,2.43,0.66,4.45,-9810939.89297938,5157781.364521299,8.64,1.93,14.57,2500.0,270.0,28000.0,25.0,6,53.0,0.48,0.13,1.99,170.0,100,500.0,2,2,3,663.0,406.0,1070.0,71.0,46,103.0,39,21,67,9,7,12
Lake-Cook Road,Middle Fork North Branch Chicago River,2005,0.21,&lt RL,0.56,-9775428.966959778,5183330.473761027,0.24,0,0.81,405.0,140.0,4800.0,8.0,1,19.0,0.19,0.01,0.89,303.0,190,467.0,1,1,4,864.0,605.0,1162.0,86.0,38,135.0,24,3,104,9,7,16
Lake-Cook Road,Skokie River,2005,0.86,0.01,2.91,-9773171.65434657,5183881.030230567,3.41,0.18,13.05,640.0,40.0,21000.0,12.0,2,55.0,0.32,&lt RL,1.47,310.0,113,553.0,2,1,5,836.0,478.0,1218.0,65.0,41,108.0,22,2,112,8,3,15
Lake-Cook Road,Des Plaines River,2005,1.5,0.3,3.02,-9786103.272410415,5183885.200209065,7.69,3.63,15.06,465.0,30.0,25000.0,28.0,8,92.0,0.19,0.06,0.46,213.0,139,405.0,1,1,2,718.0,504.0,1045.0,85.0,73,105.0,24,11,37,7,5,11
Lake-Cook Road,Buffalo Creek,2005,0.13,&lt RL,0.35,-9792683.493154095,5183751.728609537,0.36,0.06,0.96,160.0,40.0,28000.0,31.0,15,51.0,0.14,0.04,0.24,347.0,265,521.0,1,1,2,994.0,698.0,1214.0,108.0,81,126.0,24,7,35,10,7,13
Lockport Powerhouse,Chicago Sanitary and Ship Canal,2005,1.17,0.26,1.9,-9804834.0167114,5096870.642820761,6.01,2.86,9.19,205.0,9.0,7600.0,5.0,1,19.0,0.65,0.15,2.36,142.0,3,671.0,2,1,3,604.0,322.0,1760.0,88.0,49,121.0,15,1,66,6,3,9
Loomis Street,South Branch Chicago River,2005,0.72,0.32,1.33,-9758326.630046986,5137947.951214144,4.35,1.87,7.98,385.0,30.0,1500.0,5.0,1,13.0,1.36,0.26,3.19,140.0,35,295.0,2,1,5,463.0,240.0,732.0,50.0,29,69.0,13,9,25,5,3,10
Madison Street,South Branch Chicago River,2005,0.83,0.38,1.32,-9755836.894673718,5143332.001117509,4.37,2.44,8.57,870.0,200.0,9700.0,4.0,1,11.0,1.36,0.31,4.29,110.0,49,344.0,2,1,5,474.0,244.0,796.0,48.0,35,65.0,9,2,15,5,3,9
Material Service Road,Des Plaines River,2005,1.26,0.5,2.29,-9803757.593335949,5100729.017568359,6.26,3.82,10.6,230.0,9.0,9500.0,35.0,6,164.0,0.12,&lt RL,0.29,207.0,90,546.0,1,1,3,770.0,496.0,1218.0,105.0,67,251.0,35,10,102,7,5,12
Oakton Street,Des Plaines River,2005,1.26,0.32,2.56,-9782189.77125312,5164756.208222484,6.43,2.95,12.75,580.0,30.0,99000.0,34.0,1,150.0,0.15,0.03,0.33,227.0,147,567.0,1,1,2,761.0,530.0,1226.0,143.0,68,507.0,18,2,35,7,5,11
Oakton Street,North Shore Channel,2005,0.45,&lt RL,1.64,-9763838.713194087,5164984.791142569,2.43,0.19,6.18,905.0,30.0,42000.0,8.0,1,40.0,0.77,0.06,3.26,49.0,12,394.0,2,0,5,412.0,160.0,836.0,41.0,21,87.0,12,1,19,5,1,10
Ogden Avenue,Des Plaines River,2005,1.23,0.4,2.21,-9775033.160497827,5134155.08934849,5.79,3.22,12.27,905.0,60.0,28000.0,19.0,2,69.0,0.16,&lt RL,0.34,242.0,98,516.0,1,1,2,747.0,310.0,1304.0,85.0,49,119.0,31,11,84,7,5,10
Roosevelt Road,Des Plaines River,2005,1.07,0.34,2.22,-9776892.815460142,5140724.864266957,5.49,3.53,11.28,1050.0,130.0,10000.0,23.0,2,99.0,0.14,&lt RL,0.33,242.0,130,590.0,1,1,2,752.0,440.0,1232.0,100.0,55,249.0,24,9,42,7,5,10
Route 19,Poplar Creek,2005,0.09,&lt RL,0.21,-9823047.74711789,5165577.94301833,0.39,0.09,1.11,400.0,20.0,15000.0,13.0,2,31.0,0.11,&lt RL,0.26,309.0,74,560.0,1,0,1,750.0,288.0,1144.0,55.0,22,105.0,16,4,45,7,5,10
Route 83,Calumet-Sag Channel,2005,2.27,1.15,3.39,-9789029.93158179,5115601.921870255,5.35,2.53,8.85,50.0,9.0,470.0,9.0,2,29.0,0.32,0.07,0.69,133.0,1,274.0,1,1,2,610.0,342.0,898.0,130.0,61,181.0,16,7,27,6,3,16
Route 83,Chicago Sanitary and Ship Canal,2005,0.73,0.12,1.27,-9789421.360370245,5116449.74955103,5.97,4.51,8.73,1000.0,170.0,5900.0,6.0,1,20.0,0.82,0.19,2.59,112.0,75,395.0,2,1,3,571.0,368.0,1018.0,74.0,49,109.0,8,&lt RL,15,6,4,9
Springinsguth Rd.,West Branch Du Page River,2005,0.33,&lt RL,1.2,-9809372.143319122,5162219.006850576,0.69,0.1,1.69,3600.0,350.0,30000.0,60.0,4,266.0,0.45,0.04,1.91,325.0,57,641.0,2,1,4,1047.0,324.0,2128.0,81.0,32,194.0,31,9,67,13,4,26
Stephen Street,Des Plaines River,2005,1.2,0.53,1.97,-9796385.089554068,5113414.579669373,6.04,3.49,10.18,145.0,9.0,7800.0,49.0,4,225.0,0.11,0.01,0.33,211.0,104,574.0,1,1,2,743.0,402.0,1258.0,90.0,66,117.0,30,7,89,7,5,11
Stephen Street,Chicago Sanitary and Ship Canal,2005,1.17,0.25,1.87,-9796052.154215598,5113077.68374999,5.51,4.4,6.86,730.0,40.0,2000.0,5.0,1,18.0,0.8,0.21,2.23,119.0,83,307.0,2,1,3,576.0,422.0,822.0,86.0,67,119.0,15,2,23,6,4,10
Touhy Avenue,North Shore Channel,2005,1.24,0.48,2.0,-9763880.193364626,5162772.158302309,5.24,3.47,7.83,9600.0,2800.0,150000.0,2.0,0,5.0,1.72,0.26,6.76,91.0,54,455.0,3,1,9,500.0,220.0,976.0,47.0,34,62.0,11,4,21,6,3,13
Walnut Street,West Branch Du Page River,2005,2.67,0.74,3.86,-9811290.549648687,5160344.011074602,8.85,4.52,15.89,2600.0,80.0,21000.0,9.0,1,31.0,0.27,0.06,1.25,143.0,97,406.0,2,1,3,607.0,412.0,914.0,68.0,52,98.0,12,3,21,9,7,13
Wells Street,Chicago River,2005,0.35,0.01,0.84,-9755339.676982597,5144145.544547021,2.22,0.45,4.97,225.0,9.0,850.0,3.0,1,11.0,0.58,0.09,1.81,65.0,16,286.0,1,0,3,364.0,158.0,648.0,35.0,23,52.0,5,&lt RL,10,4,2,8
Wentworth Avenue,Little Calumet River,2005,0.61,0.31,1.13,-9743762.861862704,5099049.677060608,4.27,1.65,6.88,1200.0,350.0,48000.0,6.0,2,17.0,0.37,0.11,0.62,147.0,27,244.0,2,1,2,574.0,182.0,826.0,116.0,29,184.0,38,4,114,8,6,11
Wille Road,Higgins Creek,2005,1.58,0.45,3.24,-9789066.534741784,5163778.873133089,9.44,5.9,18.71,320.0,10.0,190000.0,2.0,0,5.0,0.27,0.11,0.61,167.0,136,528.0,2,1,3,713.0,470.0,1202.0,104.0,83,132.0,4,1,7,8,5,11
Willow Springs Road,Des Plaines River,2005,1.17,0.42,2.12,-9782918.22214516,5121485.94585754,5.69,1.99,11.33,410.0,30.0,21000.0,29.0,4,176.0,0.12,&lt RL,0.31,244.0,124,535.0,1,1,2,751.0,448.0,1292.0,89.0,50,122.0,22,10,34,7,5,10
Wilson Avenue,North Branch Chicago River,2005,1.13,0.53,1.67,-9762427.895694705,5155720.021993471,6.29,2.98,9.54,7750.0,2000.0,220000.0,3.0,1,6.0,1.88,0.21,6.09,113.0,67,643.0,3,2,7,598.0,350.0,1326.0,51.0,37,69.0,15,1,39,7,4,12
Wolf Road,Salt Creek,2005,1.9,0.36,3.31,-9785016.345950184,5134927.534095098,8.12,2.42,15.5,1650.0,70.0,15000.0,11.0,1,33.0,0.16,0.03,0.26,237.0,109,520.0,1,1,2,794.0,414.0,1364.0,92.0,49,136.0,29,8,69,7,5,10
130th Street,Calumet River,2004,0.06,&lt RL,0.09,-9748530.69045206,5110104.230203494,0.53,0.24,0.92,30.0,9.0,130.0,4.0,1,7.0,0.25,0.11,0.43,52.0,24,138.0,0,0,1,339.0,206.0,520.0,59.0,27,113.0,8,6,10,5,3,7
170th Street,Thorn Creek,2004,1.5,0.47,2.9,-9748874.28283881,5099238.777878965,6.12,2.13,11.03,1200.0,360.0,6700.0,9.0,3,18.0,0.3,0.07,0.58,195.0,104,427.0,1,1,1,1124.0,472.0,1832.0,489.0,118,1272.0,41,6,103,9,7,13
Albany Avenue,North Branch Chicago River,2004,0.79,0.21,1.43,-9764088.462110575,5156857.124687181,4.57,1.22,9.84,890.0,200.0,100000.0,21.0,2,61.0,0.15,0.04,0.34,180.0,108,372.0,1,1,2,662.0,452.0,902.0,70.0,43,105.0,22,10,52,8,6,12
Archer Avenue,Bubbly Creek,2004,0.81,0.25,1.42,-9758696.948071493,5136817.240627698,4.17,1.33,7.37,180.0,9.0,42000.0,27.0,3,90.0,1.13,0.44,2.41,107.0,44,354.0,2,1,3,458.0,250.0,810.0,53.0,30,83.0,13,8,30,7,5,9
Arlington Heights Road,Salt Creek,2004,1.85,0.78,3.33,-9796254.99295483,5162818.28541295,6.01,1.84,10.49,545.0,50.0,7600.0,11.0,2,24.0,0.38,0.09,1.12,168.0,115,576.0,1,0,2,663.0,476.0,1250.0,85.0,57,118.0,10,2,15,9,8,11
Ashland Avenue,Little Calumet River,2004,0.81,0.34,1.51,-9758345.734333793,5108959.791525536,3.06,1.75,5.05,4500.0,120.0,220000.0,7.0,3,19.0,0.38,0.15,0.71,183.0,88,478.0,1,1,2,854.0,492.0,1162.0,268.0,105,547.0,31,9,84,10,8,11
Ashland Avenue,Calumet-Sag Channel,2004,1.56,0.42,2.61,-9758306.686186207,5109440.062465825,4.51,2.25,8.78,2500.0,900.0,12000.0,5.0,1,10.0,0.3,0.05,0.57,116.0,62,437.0,1,0,1,608.0,364.0,942.0,116.0,54,214.0,19,12,32,8,5,10
Belmont Avenue,Des Plaines River,2004,0.69,0.23,1.33,-9779371.53102385,5151588.097147647,4.69,1.82,8.71,150.0,60.0,31000.0,13.0,0,65.0,0.27,0.02,0.79,181.0,102,426.0,1,1,1,707.0,450.0,1062.0,91.0,47,118.0,24,12,41,9,8,11
Brookfield Avenue,Salt Creek,2004,1.32,0.57,2.33,-9778479.118246686,5134478.740255858,5.78,2.13,9.58,990.0,310.0,47000.0,10.0,0,25.0,0.19,0.06,0.41,184.0,122,648.0,1,0,1,772.0,490.0,1424.0,98.0,61,142.0,22,14,42,11,7,37
Burnham Avenue ,Wolf Lake Drain,2004,0.05,&lt RL,0.1,-9744778.986089032,5110875.941051556,0.11,0,0.33,50.0,9.0,520.0,5.0,1,16.0,0.19,0.08,0.52,56.0,43,64.0,1,0,1,269.0,166.0,312.0,44.0,30,58.0,6,2,14,7,2,9
Burnham Avenue,Grand Calumet River,2004,0.58,0.34,1.15,-9744810.951107476,5105915.20396417,5.0,0.46,8.95,1100.0,50.0,58000.0,62.0,3,313.0,1.4,0.35,2.77,143.0,98,172.0,3,1,4,768.0,656.0,950.0,205.0,130,273.0,19,5,59,12,8,20
Central Street,North Shore Channel,2004,0.08,&lt RL,0.28,-9761286.946422856,5170628.61713302,0.35,0.12,0.8,460.0,10.0,5000.0,3.0,1,12.0,0.31,0.02,0.88,21.0,0,66.0,0,&lt RL,1,239.0,188.0,338.0,34.0,22,77.0,11,&lt RL,33,4,2,6
Cicero Avenue,Chicago Sanitary and Ship Canal,2004,0.8,0.33,1.42,-9767527.508297496,5134013.305608013,4.63,1.55,7.12,95.0,20.0,3400.0,6.0,2,13.0,1.11,0.42,2.26,110.0,37,468.0,2,1,3,496.0,278.0,948.0,55.0,29,96.0,18,7,28,7,5,9
Cicero Avenue,Calumet-Sag Channel,2004,1.64,0.41,2.87,-9766975.298081215,5109491.834437173,4.58,1.87,9.95,785.0,340.0,9300.0,5.0,1,13.0,0.36,0.06,0.6,116.0,63,500.0,1,0,2,646.0,306.0,1142.0,129.0,52,199.0,20,11,31,8,5,11
Damen Avenue,Chicago Sanitary and Ship Canal,2004,0.84,0.31,1.62,-9759974.102935707,5137287.498239143,4.64,1.79,7.28,200.0,10.0,2900.0,8.0,1,25.0,1.19,0.37,2.92,112.0,39,333.0,2,1,4,472.0,262.0,756.0,53.0,29,82.0,15,9,24,7,4,9
Dempster Street,North Branch Chicago River,2004,0.92,0.19,1.87,-9772519.197048591,5167261.607014383,4.23,1.36,7.57,860.0,400.0,5500.0,16.0,3,39.0,0.19,0.05,0.58,195.0,132,1273.0,1,0,1,786.0,462.0,2256.0,72.0,43,113.0,22,6,47,10,7,26
Devon Avenue,Salt Creek,2004,1.9,0.73,3.44,-9795587.075606022,5159923.790866642,6.4,1.96,11.7,1050.0,200.0,8000.0,16.0,6,30.0,0.31,0.09,1.12,186.0,106,586.0,1,0,2,721.0,452.0,1288.0,85.0,56,115.0,21,1,47,10,7,15
Diversey Parkway,North Branch Chicago River,2004,1.07,0.39,1.95,-9760793.273420712,5150867.342273781,6.5,3.01,8.93,3350.0,1200.0,8800.0,4.0,1,10.0,1.28,0.36,2.67,152.0,74,667.0,2,1,4,528.0,320.0,1048.0,62.0,40,93.0,15,6,31,8,4,10
Dundee Road,West Fork North Branch Chicago River,2004,2.12,0.44,2.89,-9777719.3660057,5181767.818476338,9.95,2.92,14.48,2650.0,700.0,10000.0,29.0,4,86.0,0.56,&lt RL,1.79,406.0,218,1563.0,2,0,3,1244.0,612.0,2888.0,76.0,53,91.0,56,20,145,9,7,12
Elmhurst Road,Higgins Creek,2004,0.11,0.04,0.24,-9789503.463971144,5164194.269628853,0.47,0.14,0.76,1180.0,9.0,3700.0,9.0,4,11.0,0.18,0.08,0.26,521.0,153,1112.0,1,0,1,1040.0,322.0,2172.0,66.0,34,107.0,34,18,55,11,7,15
Ewing Avenue,Calumet River,2004,0.06,&lt RL,0.12,-9745075.86152176,5120263.120285954,0.36,0.24,0.52,10.0,9.0,20.0,1.0,1,3.0,0.11,0.04,0.28,28.0,13,65.0,0,0,0,225.0,141.0,298.0,28.0,22,41.0,10,2,28,3,3,4
Foster Avenue,North Shore Channel,2004,1.33,0.61,2.1,-9763248.504184216,5157380.484896455,5.93,3.26,9.2,6450.0,1800.0,25000.0,2.0,1,5.0,2.17,0.51,4.28,128.0,0,356.0,3,1,7,480.0,326.0,818.0,57.0,35,91.0,13,8,25,8,5,12
Frontage Road,Skokie River,2004,1.22,0.27,2.69,-9769467.187323028,5174142.560835846,5.74,1.89,11.15,155.0,40.0,490.0,20.0,2,80.0,0.17,0.02,0.4,157.0,113,408.0,1,0,1,596.0,386.0,962.0,67.0,45,93.0,25,12,84,7,6,9
Glenview Road,North Branch Chicago River,2004,1.01,0.18,2.51,-9770990.71844705,5171319.185344051,4.79,1.38,8.93,855.0,160.0,54000.0,12.0,1,28.0,0.22,0.06,0.42,176.0,106,893.0,1,1,2,689.0,460.0,1778.0,70.0,44,97.0,23,14,39,8,&lt RL,12
Golf Road,West Fork North Branch Chicago River,2004,0.55,0.25,0.74,-9771841.694236573,5169273.313312094,2.86,1.53,5.15,495.0,190.0,2200.0,21.0,2,96.0,0.23,0.11,0.43,213.0,142,492.0,1,0,2,753.0,454.0,1178.0,75.0,48,109.0,24,8,57,8,6,10
Grand Avenue,North Branch Chicago River,2004,0.92,0.29,1.76,-9756156.248665707,5144758.297382973,5.36,2.46,8.92,1500.0,880.0,3600.0,6.0,2,20.0,1.41,0.4,3.58,153.0,70,857.0,2,1,5,570.0,346.0,1380.0,61.0,41,94.0,21,5,32,8,5,10
Halsted Street,Little Calumet River,2004,1.64,0.71,2.75,-9756147.689317685,5109826.122291395,4.79,2,8.57,2600.0,1200.0,15000.0,4.0,0,10.0,0.3,0.11,0.49,120.0,66,396.0,1,0,1,564.0,348.0,996.0,92.0,51,144.0,15,7,28,8,5,10
Harlem Avenue,Chicago Sanitary and Ship Canal,2004,0.95,0.39,1.87,-9774026.337077957,5131234.839862472,7.64,4.74,11.23,2500.0,690.0,12000.0,3.0,1,8.0,0.51,0.2,0.99,135.0,75,320.0,1,1,2,541.0,360.0,776.0,76.0,42,98.0,9,2,13,7,5,10
Higgins Road,Salt Creek,2004,0.1,0.02,0.21,-9797375.60963822,5165675.359292448,0.25,0.01,0.71,80.0,9.0,750.0,36.0,11,56.0,0.14,0.02,0.29,282.0,205,728.0,1,0,2,903.0,592.0,1450.0,93.0,43,134.0,26,7,44,9,8,12
Indiana Avenue,Little Calumet River,2004,0.54,0.05,2.42,-9753472.18145782,5108772.571885121,1.36,0.25,3.59,60.0,30.0,760.0,7.0,3,16.0,0.26,0.07,0.54,58.0,22,192.0,1,0,2,388.0,224.0,620.0,70.0,28,143.0,22,10,33,5,3,8
Joe Orr Road,Thorn Creek,2004,2.05,0.6,3.86,-9754419.852949658,5089457.720876058,7.33,3.13,12.15,3100.0,110.0,5300.0,7.0,2,16.0,0.31,0.1,0.76,200.0,99,457.0,1,1,2,1512.0,802.0,2096.0,804.0,260,1912.0,18,4,66,11,8,13
Lake Shore Drive,Chicago River,2004,0.23,&lt RL,0.72,-9753112.184339533,5144283.186382862,1.5,0.16,4.62,40.0,9.0,420.0,5.0,1,18.0,0.34,0.04,1.05,29.0,12,211.0,1,&lt RL,2,295.0,134.0,546.0,37.0,22,70.0,5,2,9,4,3,6
Lake Street,West Branch Du Page River,2004,2.4,1.25,4.01,-9810939.89297938,5157781.364521299,8.83,4.8,13.82,1260.0,120.0,9200.0,15.0,5,44.0,0.55,0.12,1.3,141.0,51,503.0,2,1,3,654.0,430.0,1168.0,78.0,52,116.0,33,22,43,10,9,11
Lake-Cook Road,Middle Fork North Branch Chicago River,2004,0.14,0.06,0.34,-9775428.966959778,5183330.473761027,0.31,0.09,0.87,625.0,90.0,5100.0,7.0,0,13.0,0.2,0.12,0.52,187.0,122,319.0,1,1,2,624.0,466.0,760.0,76.0,38,107.0,22,5,47,10,8,13
Lake-Cook Road,Skokie River,2004,0.23,0.07,0.8,-9773171.65434657,5183881.030230567,0.77,0.09,2.58,1200.0,100.0,5900.0,22.0,4,91.0,0.17,0.02,0.33,195.0,130,357.0,1,1,2,691.0,464.0,910.0,77.0,45,120.0,21,8,43,9,6,12
Lake-Cook Road,Buffalo Creek,2004,0.08,0,0.19,-9792683.493154095,5183751.728609537,0.32,0.02,0.72,270.0,40.0,1500.0,22.0,7,33.0,0.15,0.06,0.25,259.0,122,432.0,1,0,2,734.0,430.0,1082.0,106.0,48,163.0,21,10,40,10,8,12
Lake-Cook Road,Des Plaines River,2004,0.99,0.22,2.41,-9786103.272410415,5183885.200209065,6.53,1.81,14.15,270.0,70.0,680.0,21.0,8,46.0,0.18,0.07,0.33,175.0,87,292.0,1,0,1,664.0,479.0,825.0,89.0,42,120.0,26,12,54,9,7,11
Lockport Powerhouse,Chicago Sanitary and Ship Canal,2004,1.01,0.41,2.19,-9804834.0167114,5096870.642820761,5.74,2.3,9.38,160.0,9.0,3900.0,4.0,1,12.0,0.64,0.25,1.89,139.0,66,783.0,1,0,3,602.0,308.0,1458.0,90.0,43,136.0,15,5,30,8,5,19
Loomis Street,South Branch Chicago River,2004,0.86,0.36,1.48,-9758326.630046986,5137947.951214144,4.76,1.78,7.82,215.0,9.0,670.0,7.0,1,24.0,1.25,0.41,3.13,114.0,36,320.0,2,1,5,448.0,238.0,736.0,55.0,29,96.0,12,4,23,7,4,9
Madison Street,South Branch Chicago River,2004,0.91,0.15,1.73,-9755836.894673718,5143332.001117509,4.68,1.39,6.91,600.0,290.0,2000.0,4.0,1,10.0,1.2,0.2,3.51,115.0,35,293.0,2,0,5,450.0,240.0,680.0,52.0,27,81.0,14,5,41,7,5,9
Material Service Road,Des Plaines River,2004,0.78,0.33,1.61,-9803757.593335949,5100729.017568359,4.39,1.87,7.92,180.0,10.0,950.0,40.0,3,206.0,0.12,0.01,0.24,178.0,109,524.0,1,1,2,679.0,440.0,1226.0,94.0,44,125.0,29,9,50,8,7,10
Oakton Street,North Shore Channel,2004,0.49,0.03,1.71,-9763838.713194087,5164984.791142569,1.97,0.21,7.67,745.0,140.0,19000.0,12.0,1,60.0,0.89,0.06,2.63,64.0,13,309.0,1,&lt RL,4,329.0,78.0,612.0,42.0,23,75.0,15,2,30,6,3,10
Oakton Street,Des Plaines River,2004,0.89,0.24,2.29,-9782189.77125312,5164756.208222484,5.46,1.74,12.61,220.0,70.0,3100.0,18.0,2,72.0,0.19,0.03,0.35,179.0,94,375.0,1,1,1,651.0,382.0,980.0,90.0,44,122.0,26,11,61,9,1,13
Ogden Avenue,Des Plaines River,2004,0.81,0.3,1.37,-9775033.160497827,5134155.08934849,4.7,1.97,6.7,1200.0,120.0,4900.0,14.0,1,77.0,0.13,0.01,0.3,177.0,111,491.0,1,0,1,691.0,494.0,1160.0,88.0,46,118.0,23,10,44,9,7,13
Roosevelt Road,Des Plaines River,2004,0.63,0.22,1.16,-9776892.815460142,5140724.864266957,4.38,1.78,7.36,720.0,60.0,4700.0,14.0,0,81.0,0.19,0.02,0.38,176.0,101,427.0,1,0,2,691.0,508.0,1052.0,91.0,45,119.0,24,14,46,9,7,11
Route 19,Poplar Creek,2004,0.08,0.02,0.16,-9823047.74711789,5165577.94301833,0.34,0.11,0.78,130.0,9.0,2400.0,8.0,1,20.0,0.11,&lt RL,0.29,186.0,98,499.0,1,0,1,740.0,451.0,1112.0,67.0,30,111.0,15,4,41,9,6,11
Route 83,Calumet-Sag Channel,2004,1.48,0.37,2.87,-9789029.93158179,5115601.921870255,4.38,1.8,7.95,220.0,20.0,940.0,4.0,0,10.0,0.44,0.21,0.99,126.0,78,376.0,1,0,2,610.0,334.0,1038.0,123.0,61,208.0,20,9,49,8,6,10
Route 83,Chicago Sanitary and Ship Canal,2004,0.98,0.33,1.76,-9789421.360370245,5116449.74955103,6.93,3.69,9.84,935.0,200.0,6200.0,4.0,0,10.0,0.65,0.38,1.3,128.0,73,759.0,1,1,2,588.0,364.0,1124.0,81.0,45,134.0,9,&lt RL,21,8,6,10
