Station Name,Waterway,Year,Phosphorous_Average,Phosphorous_Min,Phosphorous_Max,x,y,NO2_NO3_Average,NO2_NO3_Min,NO2_NO3_Max,Fecal_Coliform_Average,Fecal_Coliform_Min,Fecal_Coliform_Max,Chlorophyll-A_Average,Chlorophyll-A_Min,Chlorophyll-A_Max,NH3_Average,NH3_Min,NH3_Max,Chloride_Average,Chloride_Min,Chloride_Max,TKN_Average,TKN_Min,TKN_Max,Total_Dissolved_Solids_Average,Total_Dissolved_Solids_Min,Total_Dissolved_Solids_Max,SO4_Average,SO4_Min,SO4_Max,Suspended_Solids_Average,Suspended_Solids_Min,Suspended_Solids_Max,TOC_Average,TOC_Min,TOC_Max
Lockport Powerhouse,Chicago Sanitary and Ship Canal,2024,0.56,0.22,2.05,-9804834.0167114,5096870.642820761,5.7,2.52,10.75,60.0,9.0,2100.0,3.0,1,8.0,0.55,0.03,3.69,127.0,86,464.0,1,1,3,548.0,348.0,1128.0,78.0,52,118.0,6,2,33,5,4,7
Loomis Street,South Branch Chicago River,2024,0.78,0.27,1.59,-9758326.630046986,5137947.951214144,4.87,2.37,8.34,20.0,9.0,870.0,3.0,1,8.0,0.55,&lt RL,1.95,108.0,50,370.0,2,1,3,439.0,264.0,862.0,41.0,29,56.0,7,3,14,5,3,6
Material Service Road,Des Plaines River,2024,0.36,0.26,0.53,-9803757.593335949,5100729.017568359,4.76,2.3,9.07,85.0,9.0,230.0,17.0,3,60.0,0.03,&lt RL,0.52,164.0,99,287.0,1,1,1,566.0,350.0,786.0,58.0,31,75.0,15,3,40,7,5,22
Ogden Avenue,Des Plaines River,2024,0.53,0.24,0.97,-9775033.160497827,5134155.08934849,5.63,1.69,11.85,340.0,100.0,4500.0,13.0,2,46.0,0.04,&lt RL,0.09,165.0,105,397.0,1,1,1,608.0,430.0,982.0,59.0,35,77.0,25,6,82,6,5,8
Route 83,Calumet-Sag Channel,2024,0.55,0.21,1.7,-9789029.93158179,5115601.921870255,4.72,2.33,8.68,70.0,9.0,1800.0,6.0,1,20.0,0.22,0.07,0.34,154.0,86,242.0,1,1,1,568.0,378.0,904.0,94.0,56,179.0,15,4,48,5,3,6
Springinsguth Rd.,West Branch Du Page River,2024,0.33,0.03,2.22,-9809372.143319122,5162219.006850576,2.31,0.19,20.23,555.0,70.0,6000.0,25.0,0,172.0,0.29,0,0.89,219.0,98,907.0,2,1,5,779.0,368.0,1888.0,57.0,20,109.0,20,8,29,12,8,23
Stephen Street,Chicago Sanitary and Ship Canal,2024,0.57,0.22,0.97,-9796052.154215598,5113077.68374999,5.53,3.3,7.87,330.0,30.0,1200.0,7.0,1,19.0,0.28,0.06,0.63,142.0,92,469.0,1,1,2,550.0,404.0,1086.0,77.0,52,102.0,7,3,12,5,4,6
Touhy Avenue,North Shore Channel,2024,1.41,0.49,2.15,-9763880.193364626,5162772.158302309,7.6,3.44,10.98,240.0,60.0,22000.0,1.0,0,2.0,1.11,0.12,3.8,100.0,50,185.0,2,1,4,437.0,258.0,600.0,43.0,23,57.0,4,2,7,5,4,7
Wells Street,Chicago River,2024,0.31,&lt RL,0.87,-9755339.676982597,5144145.544547021,2.8,0.36,7.52,100.0,9.0,1000.0,2.0,1,5.0,0.17,&lt RL,0.64,50.0,18,325.0,1,0,2,343.0,146.0,748.0,34.0,23,53.0,3,1,5,3,1,5
Wille Road,Higgins Creek,2024,0.27,0.1,0.8,-9789066.534741784,5163778.873133089,7.2,3.67,10.31,350.0,9.0,980.0,3.0,1,6.0,0.2,0.02,0.55,147.0,109,385.0,1,1,2,605.0,420.0,946.0,71.0,43,87.0,2,&lt RL,5,6,4,9
