Station Name,Station Number,Station Description,Parameter Description,Units of Measure,Year,Result Count,Result Average,Result Min,Result Max,Waterway,x,y
Halsted Street,76,Little Calumet River at Halsted Street,Suspended Solids,mg/L,2014,12,14,4,33,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,41,Chicago Sanitary and Ship Canal at Harlem Avenue,Suspended Solids,mg/L,2014,11,7,4,10,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,79,Salt Creek at Higgins Road,Suspended Solids,mg/L,2014,9,20,8,38,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,56,Little Calumet River at Indiana Avenue,Suspended Solids,mg/L,2014,10,17,4,31,Little Calumet River,-9753472.181457821,5108772.571885121
Lockport Powerhouse,92,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Suspended Solids,mg/L,2014,51,10,3,47,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,108,South Branch Chicago River at Loomis Street,Suspended Solids,mg/L,2014,12,11,7,13,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,91,Des Plaines River at Material Service Road,Suspended Solids,mg/L,2014,10,13,6,26,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,22,Des Plaines River at Ogden Avenue,Suspended Solids,mg/L,2014,9,16,5,35,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,43,Calumet-Sag Channel at Route 83,Suspended Solids,mg/L,2014,11,23,10,62,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,110,West Branch DuPage River at Springinsguth Road,Suspended Solids,mg/L,2014,8,11,3,32,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,48,Chicago Sanitary and Ship Canal at Stephen Street,Suspended Solids,mg/L,2014,11,12,4,27,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,36,North Shore Channel at Touhy Avenue,Suspended Solids,mg/L,2014,12,9,4,15,North Shore Channel,-9763880.193364626,5162772.158302309
Wells Street,100,Chicago River at Wells Street,Suspended Solids,mg/L,2014,11,12,4,44,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,78,Higgins Creek at Wille Road,Suspended Solids,mg/L,2014,12,2,1,5,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,23,Des Plaines River at Willow Springs Road,Suspended Solids,mg/L,2014,9,13,6,22,Des Plaines River,-9782918.22214516,5121485.94585754
Albany Avenue,96,North Branch Chicago River at Albany Avenue,Suspended Solids,mg/L,2013,12,29,6,93,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,99,Bubbly Creek at Archer Avenue,Suspended Solids,mg/L,2013,10,13,8,26,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,111,West Branch DuPage River at Arlington Drive,Suspended Solids,mg/L,2013,12,28,11,61,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,57,Little Calumet River at Ashland Avenue,Suspended Solids,mg/L,2013,10,31,7,88,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,19,Des Plaines River at Belmont Avenue,Suspended Solids,mg/L,2013,12,16,4,39,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,109,Salt Creek at Brookfield Avenue,Suspended Solids,mg/L,2013,11,20,4,62,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue,86,Grand Calumet River at Burnham Avenue,Suspended Solids,mg/L,2013,9,14,8,24,Grand Calumet River,-9744810.951107476,5105915.20396417
Cicero Avenue,75,Chicago Sanitary and Ship Canal at Cicero Avenue,Suspended Solids,mg/L,2013,12,13,5,22,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Cicero Avenue,59,Calumet-Sag Channel at Cicero Avenue,Suspended Solids,mg/L,2013,11,21,10,47,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Dempster St.,112,North Shore Channel at Dempster Street,Suspended Solids,mg/L,2013,10,21,5,72,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,18,Salt Creek at Devon Avenue,Suspended Solids,mg/L,2013,12,15,5,41,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,73,North Branch Chicago River at Diversey Parkway,Suspended Solids,mg/L,2013,12,22,7,79,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,77,Higgins Creek at Elmhurst Road,Suspended Solids,mg/L,2013,4,42,9,121,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,76,Little Calumet River at Halsted Street,Suspended Solids,mg/L,2013,11,11,5,19,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,41,Chicago Sanitary and Ship Canal at Harlem Avenue,Suspended Solids,mg/L,2013,12,9,4,17,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,79,Salt Creek at Higgins Road,Suspended Solids,mg/L,2013,8,21,9,39,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,56,Little Calumet River at Indiana Avenue,Suspended Solids,mg/L,2013,8,16,7,40,Little Calumet River,-9753472.181457821,5108772.571885121
Lockport Powerhouse,92,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Suspended Solids,mg/L,2013,51,10,3,29,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,108,South Branch Chicago River at Loomis Street,Suspended Solids,mg/L,2013,12,11,3,19,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,91,Des Plaines River at Material Service Road,Suspended Solids,mg/L,2013,12,19,4,34,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,22,Des Plaines River at Ogden Avenue,Suspended Solids,mg/L,2013,12,18,5,36,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,43,Calumet-Sag Channel at Route 83,Suspended Solids,mg/L,2013,11,18,7,41,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,110,West Branch DuPage River at Springinsguth Road,Suspended Solids,mg/L,2013,8,37,7,197,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,48,Chicago Sanitary and Ship Canal at Stephen Street,Suspended Solids,mg/L,2013,12,13,7,24,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,36,North Shore Channel at Touhy Avenue,Suspended Solids,mg/L,2013,11,10,3,28,North Shore Channel,-9763880.193364626,5162772.158302309
Wells Street,100,Chicago River at Wells Street,Suspended Solids,mg/L,2013,12,10,3,22,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,78,Higgins Creek at Wille Road,Suspended Solids,mg/L,2013,12,7,2,55,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,23,Des Plaines River at Willow Springs Road,Suspended Solids,mg/L,2013,11,16,7,24,Des Plaines River,-9782918.22214516,5121485.94585754
130th Street,55,Calumet River at 130th Street,Suspended Solids,mg/L,2012,7,3,1,6,Calumet River,-9748530.69045206,5110104.230203494
170th Street,97,Thorn Creek at 170th Street,Suspended Solids,mg/L,2012,6,25,13,48,Thorn Creek,-9748874.28283881,5099238.777878965
Albany Avenue,96,North Branch Chicago River at Albany Avenue,Suspended Solids,mg/L,2012,12,11,3,26,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,99,Bubbly Creek at Archer Avenue,Suspended Solids,mg/L,2012,12,17,7,47,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,111,West Branch DuPage River at Arlington Drive,Suspended Solids,mg/L,2012,12,33,8,64,West Branch DuPage River,-9811547.219382191,5157233.888994125
Arlington Heights Road,80,Salt Creek at Arlington Heights Road,Suspended Solids,mg/L,2012,7,7,3,11,Salt Creek,-9796254.99295483,5162818.28541295
Ashland Avenue,57,Little Calumet River at Ashland Avenue,Suspended Solids,mg/L,2012,11,26,2,115,Little Calumet River,-9758345.734333793,5108959.791525536
Ashland Avenue,58,Calumet-Sag Channel at Ashland Avenue,Suspended Solids,mg/L,2012,7,12,4,20,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
Belmont Avenue,19,Des Plaines River at Belmont Avenue,Suspended Solids,mg/L,2012,12,17,3,70,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,109,Salt Creek at Brookfield Avenue,Suspended Solids,mg/L,2012,12,17,4,117,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue ,50,Wolf Lake Drain at Burnham Avenue,Suspended Solids,mg/L,2012,7,9,2,23,Wolf Lake Drain,-9744778.986089032,5110875.941051556
Burnham Avenue,86,Grand Calumet River at Burnham Avenue,Suspended Solids,mg/L,2012,11,13,7,29,Grand Calumet River,-9744810.951107476,5105915.20396417
Central Street,35,North Shore Channel at Central Street,Suspended Solids,mg/L,2012,5,11,8,17,North Shore Channel,-9761286.946422856,5170628.6171330195
Cicero Avenue,75,Chicago Sanitary and Ship Canal at Cicero Avenue,Suspended Solids,mg/L,2012,12,13,4,27,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Cicero Avenue,59,Calumet-Sag Channel at Cicero Avenue,Suspended Solids,mg/L,2012,10,13,8,20,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Damen Avenue,40,Chicago Sanitary and Ship Canal at Damen Avenue,Suspended Solids,mg/L,2012,7,13,8,20,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
