Station Number,Station Name,Station Description,Parameter Description,Units of Measure,Result Count,Year,Result Average,Result Min,Result Max,Waterway,x,y
106,Dundee Road,West Fork North Branch Chicago River at Dundee Road,"Phosphorous, total",mg/L,10,2011,1.23,0.34,2.72,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,5,2011,0.08,0.05,0.1,Higgins Creek,-9789503.463971145,5164194.269628853
49,Ewing Avenue,Calumet River at Ewing Avenue,"Phosphorous, total",mg/L,6,2011,0.02,&lt RL,0.05,Calumet River,-9745075.86152176,5120263.120285954
101,Foster Avenue,North Shore Channel at Foster Avenue,"Phosphorous, total",mg/L,12,2011,1.12,0.5,1.49,North Shore Channel,-9763248.504184216,5157380.484896455
105,Frontage Road,Skokie River at Frontage Road,"Phosphorous, total",mg/L,12,2011,0.94,0.26,2,Skokie River,-9769467.187323028,5174142.560835846
104,Glenview Road,North Branch Chicago River at Glenview Road,"Phosphorous, total",mg/L,12,2011,0.71,0.21,1.76,North Branch Chicago River,-9770990.71844705,5171319.185344051
103,Golf Road,West Fork North Branch Chicago River at Golf Road,"Phosphorous, total",mg/L,11,2011,0.52,0.24,1.06,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
46,Grand Avenue,North Branch Chicago River at Grand Avenue,"Phosphorous, total",mg/L,12,2011,0.85,0.42,1.5,North Branch Chicago River,-9756156.248665709,5144758.297382973
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,11,2011,1.66,0.06,3.5,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,12,2011,0.48,0.26,0.76,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,10,2011,0.38,0.04,2.98,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,10,2011,0.35,&lt RL,1.07,Little Calumet River,-9753472.181457821,5108772.571885121
54,Joe Orr Road,Thorn Creek at Joe Orr Road,"Phosphorous, total",mg/L,10,2011,1.19,0.26,2.16,Thorn Creek,-9754419.852949658,5089457.720876058
74,Lake Shore Drive,Chicago River at Lake Shore Drive,"Phosphorous, total",mg/L,12,2011,0.32,&lt RL,1,Chicago River,-9753112.184339533,5144283.186382862
32,Lake-Cook Road,Skokie River at Lake-Cook Road,"Phosphorous, total",mg/L,10,2011,0.24,0.06,0.61,Skokie River,-9773171.65434657,5183881.030230567
31,Lake-Cook Road,Middle Fork North Branch Chicago River at Lake-Cook Road,"Phosphorous, total",mg/L,9,2011,0.11,&lt RL,0.29,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
13,Lake-Cook Road,Des Plaines River at Lake-Cook Road,"Phosphorous, total",mg/L,11,2011,0.6,0.15,1.65,Des Plaines River,-9786103.272410415,5183885.200209065
12,Lake-Cook Road,Buffalo Creek at Lake-Cook Road,"Phosphorous, total",mg/L,9,2011,0.09,0.02,0.23,Buffalo Creek,-9792683.493154097,5183751.728609537
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,51,2011,0.93,0.28,1.96,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,12,2011,0.73,0.29,1.31,South Branch Chicago River,-9758326.630046986,5137947.951214144
39,Madison Street,South Branch Chicago River at Madison Street,"Phosphorous, total",mg/L,6,2011,0.83,0.26,1.38,South Branch Chicago River,-9755836.894673718,5143332.001117509
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,11,2011,0.55,0.23,1.19,Des Plaines River,-9803757.593335949,5100729.017568359
17,Oakton Street,Des Plaines River at Oakton Street,"Phosphorous, total",mg/L,11,2011,0.55,0.17,1.31,Des Plaines River,-9782189.77125312,5164756.208222484
102,Oakton Street,North Shore Channel at Oakton Street,"Phosphorous, total",mg/L,12,2011,0.61,&lt RL,1.83,North Shore Channel,-9763838.713194087,5164984.791142569
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,11,2011,0.62,0.21,1.39,Des Plaines River,-9775033.160497827,5134155.08934849
20,Roosevelt Road,Des Plaines River at Roosevelt Road,"Phosphorous, total",mg/L,11,2011,0.58,0.18,1.14,Des Plaines River,-9776892.815460142,5140724.864266957
90,Route 19,Poplar Creek at Route 19,"Phosphorous, total",mg/L,11,2011,0.07,&lt RL,0.17,Poplar Creek,-9823047.74711789,5165577.94301833
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,11,2011,1.43,0.27,3.53,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
42,Route 83,Chicago Sanitary and Ship Canal at Route 83,"Phosphorous, total",mg/L,12,2011,0.55,0.29,0.88,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,10,2011,0.39,0.07,2.78,West Branch Du Page River,-9809372.143319122,5162219.006850576
29,Stephen Street,Des Plaines River at Stephen Street,"Phosphorous, total",mg/L,11,2011,0.57,0.23,1.28,Des Plaines River,-9796385.089554068,5113414.579669373
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,12,2011,0.83,0.4,1.35,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,12,2011,1.25,0.45,2.5,North Shore Channel,-9763880.193364626,5162772.158302309
89,Walnut Street,West Branch Du Page River at Walnut Street,"Phosphorous, total",mg/L,12,2011,1.8,0.16,3.28,West Branch Du Page River,-9811290.549648687,5160344.011074602
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,12,2011,0.56,0.06,1.27,Chicago River,-9755339.676982595,5144145.544547021
52,Wentworth Avenue,Little Calumet River at Wentworth Avenue,"Phosphorous, total",mg/L,10,2011,0.39,0.22,0.61,Little Calumet River,-9743762.861862704,5099049.677060608
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,11,2011,0.98,0.16,2.12,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,11,2011,0.59,0.2,1.35,Des Plaines River,-9782918.22214516,5121485.94585754
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,"Phosphorous, total",mg/L,12,2011,0.97,0.09,1.54,North Branch Chicago River,-9762427.895694703,5155720.021993471
24,Wolf Road,Salt Creek at Wolf Road,"Phosphorous, total",mg/L,11,2011,1.02,0.26,2.11,Salt Creek,-9785016.345950183,5134927.534095098
55,130th Street,Calumet River at 130th Street,"Phosphorous, total",mg/L,10,2010,0.05,0.02,0.09,Calumet River,-9748530.69045206,5110104.230203494
97,170th Street,Thorn Creek at 170th Street,"Phosphorous, total",mg/L,11,2010,0.92,0.3,2.36,Thorn Creek,-9748874.28283881,5099238.777878965
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,11,2010,0.69,0.22,1.67,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,10,2010,0.68,0.32,1.28,Bubbly Creek,-9758696.948071491,5136817.240627698
80,Arlington Heights Road,Salt Creek at Arlington Heights Road,"Phosphorous, total",mg/L,12,2010,1.53,0.28,3.32,Salt Creek,-9796254.99295483,5162818.28541295
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,10,2010,0.76,0.34,2.5,Little Calumet River,-9758345.734333793,5108959.791525536
58,Ashland Avenue,Calumet-Sag Channel at Ashland Avenue,"Phosphorous, total",mg/L,10,2010,1.58,0.47,3.6,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,11,2010,0.8,0.29,1.86,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,11,2010,1.04,0.49,2.05,Salt Creek,-9778479.118246686,5134478.740255858
50,Burnham Avenue ,Wolf Lake Drain at Burnham Avenue,"Phosphorous, total",mg/L,11,2010,0.09,0.02,0.47,Wolf Lake Drain,-9744778.986089032,5110875.941051556
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,7,2010,0.92,0.42,1.82,Grand Calumet River,-9744810.951107476,5105915.20396417
35,Central Street,North Shore Channel at Central Street,"Phosphorous, total",mg/L,8,2010,0.1,0.03,0.19,North Shore Channel,-9761286.946422856,5170628.6171330195
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,12,2010,0.68,0.23,1.22,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,10,2010,1.92,0.5,6.65,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
40,Damen Avenue,Chicago Sanitary and Ship Canal at Damen Avenue,"Phosphorous, total",mg/L,12,2010,0.67,0.24,1.33,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
34,Dempster Street,North Branch Chicago River at Dempster Street,"Phosphorous, total",mg/L,8,2010,0.49,0.28,0.76,North Branch Chicago River,-9772519.197048591,5167261.607014383
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,10,2010,1.64,0.35,2.96,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,12,2010,1.05,0.64,1.82,North Branch Chicago River,-9760793.273420712,5150867.342273781
106,Dundee Road,West Fork North Branch Chicago River at Dundee Road,"Phosphorous, total",mg/L,10,2010,1.36,0.36,3.03,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,1,2010,0.09,0.09,0.09,Higgins Creek,-9789503.463971145,5164194.269628853
49,Ewing Avenue,Calumet River at Ewing Avenue,"Phosphorous, total",mg/L,6,2010,0.07,0.05,0.11,Calumet River,-9745075.86152176,5120263.120285954
101,Foster Avenue,North Shore Channel at Foster Avenue,"Phosphorous, total",mg/L,12,2010,1.21,0.79,1.74,North Shore Channel,-9763248.504184216,5157380.484896455
105,Frontage Road,Skokie River at Frontage Road,"Phosphorous, total",mg/L,12,2010,1.05,0.26,2.38,Skokie River,-9769467.187323028,5174142.560835846
104,Glenview Road,North Branch Chicago River at Glenview Road,"Phosphorous, total",mg/L,9,2010,0.87,0.3,1.91,North Branch Chicago River,-9770990.71844705,5171319.185344051
103,Golf Road,West Fork North Branch Chicago River at Golf Road,"Phosphorous, total",mg/L,10,2010,0.52,0.26,1.42,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
46,Grand Avenue,North Branch Chicago River at Grand Avenue,"Phosphorous, total",mg/L,12,2010,0.95,0.32,1.73,North Branch Chicago River,-9756156.248665709,5144758.297382973
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,10,2010,2.01,0.66,4.66,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,9,2010,0.79,0.32,1.59,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,8,2010,0.13,0.09,0.24,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,10,2010,0.4,0.05,1.4,Little Calumet River,-9753472.181457821,5108772.571885121
54,Joe Orr Road,Thorn Creek at Joe Orr Road,"Phosphorous, total",mg/L,9,2010,1.27,0.38,2.68,Thorn Creek,-9754419.852949658,5089457.720876058
74,Lake Shore Drive,Chicago River at Lake Shore Drive,"Phosphorous, total",mg/L,11,2010,0.19,0.02,0.6,Chicago River,-9753112.184339533,5144283.186382862
64,Lake Street,West Branch Du Page River at Lake Street,"Phosphorous, total",mg/L,6,2010,1.15,0.57,1.73,West Branch Du Page River,-9810939.89297938,5157781.364521299
32,Lake-Cook Road,Skokie River at Lake-Cook Road,"Phosphorous, total",mg/L,9,2010,0.14,0.07,0.22,Skokie River,-9773171.65434657,5183881.030230567
31,Lake-Cook Road,Middle Fork North Branch Chicago River at Lake-Cook Road,"Phosphorous, total",mg/L,9,2010,0.15,0.06,0.26,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
13,Lake-Cook Road,Des Plaines River at Lake-Cook Road,"Phosphorous, total",mg/L,11,2010,0.79,0.24,2.15,Des Plaines River,-9786103.272410415,5183885.200209065
12,Lake-Cook Road,Buffalo Creek at Lake-Cook Road,"Phosphorous, total",mg/L,7,2010,0.12,0.07,0.24,Buffalo Creek,-9792683.493154097,5183751.728609537
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,51,2010,1.12,0.34,2.18,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,11,2010,0.66,0.24,1.35,South Branch Chicago River,-9758326.630046986,5137947.951214144
39,Madison Street,South Branch Chicago River at Madison Street,"Phosphorous, total",mg/L,12,2010,0.67,0.2,1.17,South Branch Chicago River,-9755836.894673718,5143332.001117509
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,12,2010,0.68,0.3,1.34,Des Plaines River,-9803757.593335949,5100729.017568359
102,Oakton Street,North Shore Channel at Oakton Street,"Phosphorous, total",mg/L,11,2010,0.54,0.03,1.76,North Shore Channel,-9763838.713194087,5164984.791142569
17,Oakton Street,Des Plaines River at Oakton Street,"Phosphorous, total",mg/L,11,2010,0.8,0.25,1.99,Des Plaines River,-9782189.77125312,5164756.208222484
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,12,2010,0.79,0.34,1.68,Des Plaines River,-9775033.160497827,5134155.08934849
20,Roosevelt Road,Des Plaines River at Roosevelt Road,"Phosphorous, total",mg/L,11,2010,0.73,0.28,1.56,Des Plaines River,-9776892.815460142,5140724.864266957
90,Route 19,Poplar Creek at Route 19,"Phosphorous, total",mg/L,10,2010,0.12,0.03,0.28,Poplar Creek,-9823047.74711789,5165577.94301833
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,11,2010,1.82,0.42,2.93,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
42,Route 83,Chicago Sanitary and Ship Canal at Route 83,"Phosphorous, total",mg/L,12,2010,0.84,0.27,1.94,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,8,2010,0.19,0.1,0.26,West Branch Du Page River,-9809372.143319122,5162219.006850576
29,Stephen Street,Des Plaines River at Stephen Street,"Phosphorous, total",mg/L,12,2010,0.71,0.33,1.35,Des Plaines River,-9796385.089554068,5113414.579669373
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,12,2010,1.01,0.3,2.36,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,11,2010,1.15,0.65,2.07,North Shore Channel,-9763880.193364626,5162772.158302309
89,Walnut Street,West Branch Du Page River at Walnut Street,"Phosphorous, total",mg/L,12,2010,2.31,1.12,3.42,West Branch Du Page River,-9811290.549648687,5160344.011074602
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,12,2010,0.37,0.08,1.08,Chicago River,-9755339.676982595,5144145.544547021
52,Wentworth Avenue,Little Calumet River at Wentworth Avenue,"Phosphorous, total",mg/L,11,2010,0.57,0.31,1.26,Little Calumet River,-9743762.861862704,5099049.677060608
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,9,2010,1.02,0.4,2.2,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,11,2010,0.73,0.31,1.44,Des Plaines River,-9782918.22214516,5121485.94585754
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,"Phosphorous, total",mg/L,12,2010,1.03,0.26,1.35,North Branch Chicago River,-9762427.895694703,5155720.021993471
24,Wolf Road,Salt Creek at Wolf Road,"Phosphorous, total",mg/L,10,2010,1.17,0.46,2.44,Salt Creek,-9785016.345950183,5134927.534095098
55,130th Street,Calumet River at 130th Street,"Phosphorous, total",mg/L,9,2009,0.03,&lt RL,0.06,Calumet River,-9748530.69045206,5110104.230203494
97,170th Street,Thorn Creek at 170th Street,"Phosphorous, total",mg/L,9,2009,1.14,0.43,1.74,Thorn Creek,-9748874.28283881,5099238.777878965
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,12,2009,0.55,0.16,1.08,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,11,2009,0.51,0.22,1.03,Bubbly Creek,-9758696.948071491,5136817.240627698
80,Arlington Heights Road,Salt Creek at Arlington Heights Road,"Phosphorous, total",mg/L,12,2009,1.59,0.12,4.51,Salt Creek,-9796254.99295483,5162818.28541295
58,Ashland Avenue,Calumet-Sag Channel at Ashland Avenue,"Phosphorous, total",mg/L,11,2009,1.41,0.38,3.8,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,9,2009,0.52,0.02,0.8,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,12,2009,0.6,0.18,1.51,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,11,2009,0.94,0.3,2.34,Salt Creek,-9778479.118246686,5134478.740255858
50,Burnham Avenue ,Wolf Lake Drain at Burnham Avenue,"Phosphorous, total",mg/L,10,2009,0.02,&lt RL,0.05,Wolf Lake Drain,-9744778.986089032,5110875.941051556
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,5,2009,0.34,0.24,0.48,Grand Calumet River,-9744810.951107476,5105915.20396417
35,Central Street,North Shore Channel at Central Street,"Phosphorous, total",mg/L,9,2009,0.12,0.02,0.35,North Shore Channel,-9761286.946422856,5170628.6171330195
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,12,2009,0.54,0.24,1.04,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,10,2009,1.26,0.39,3.74,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
40,Damen Avenue,Chicago Sanitary and Ship Canal at Damen Avenue,"Phosphorous, total",mg/L,11,2009,0.61,0.28,1.05,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
34,Dempster Street,North Branch Chicago River at Dempster Street,"Phosphorous, total",mg/L,12,2009,0.59,0.19,1.38,North Branch Chicago River,-9772519.197048591,5167261.607014383
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,11,2009,1.56,0.43,4.47,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,12,2009,0.95,0.24,1.58,North Branch Chicago River,-9760793.273420712,5150867.342273781
106,Dundee Road,West Fork North Branch Chicago River at Dundee Road,"Phosphorous, total",mg/L,11,2009,1.28,0.24,2.97,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,4,2009,0.08,0.05,0.14,Higgins Creek,-9789503.463971145,5164194.269628853
49,Ewing Avenue,Calumet River at Ewing Avenue,"Phosphorous, total",mg/L,7,2009,0.01,&lt RL,0.04,Calumet River,-9745075.86152176,5120263.120285954
101,Foster Avenue,North Shore Channel at Foster Avenue,"Phosphorous, total",mg/L,12,2009,1.11,0.3,1.66,North Shore Channel,-9763248.504184216,5157380.484896455
105,Frontage Road,Skokie River at Frontage Road,"Phosphorous, total",mg/L,12,2009,0.9,0.17,1.86,Skokie River,-9769467.187323028,5174142.560835846
104,Glenview Road,North Branch Chicago River at Glenview Road,"Phosphorous, total",mg/L,12,2009,0.69,0.17,1.49,North Branch Chicago River,-9770990.71844705,5171319.185344051
103,Golf Road,West Fork North Branch Chicago River at Golf Road,"Phosphorous, total",mg/L,11,2009,0.41,0.18,0.55,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
46,Grand Avenue,North Branch Chicago River at Grand Avenue,"Phosphorous, total",mg/L,12,2009,0.83,0.34,1.35,North Branch Chicago River,-9756156.248665709,5144758.297382973
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,11,2009,1.49,0.62,3.99,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,12,2009,0.71,0.18,1.51,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,8,2009,0.35,0.07,2.02,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,8,2009,0.1,0.01,0.21,Little Calumet River,-9753472.181457821,5108772.571885121
54,Joe Orr Road,Thorn Creek at Joe Orr Road,"Phosphorous, total",mg/L,9,2009,1.74,0.54,3.42,Thorn Creek,-9754419.852949658,5089457.720876058
74,Lake Shore Drive,Chicago River at Lake Shore Drive,"Phosphorous, total",mg/L,9,2009,0.05,0.02,0.12,Chicago River,-9753112.184339533,5144283.186382862
64,Lake Street,West Branch Du Page River at Lake Street,"Phosphorous, total",mg/L,12,2009,1.75,0.63,3.55,West Branch Du Page River,-9810939.89297938,5157781.364521299
13,Lake-Cook Road,Des Plaines River at Lake-Cook Road,"Phosphorous, total",mg/L,12,2009,0.62,0.19,1.57,Des Plaines River,-9786103.272410415,5183885.200209065
12,Lake-Cook Road,Buffalo Creek at Lake-Cook Road,"Phosphorous, total",mg/L,9,2009,0.09,0.05,0.14,Buffalo Creek,-9792683.493154097,5183751.728609537
32,Lake-Cook Road,Skokie River at Lake-Cook Road,"Phosphorous, total",mg/L,10,2009,0.12,0.05,0.23,Skokie River,-9773171.65434657,5183881.030230567
31,Lake-Cook Road,Middle Fork North Branch Chicago River at Lake-Cook Road,"Phosphorous, total",mg/L,10,2009,0.11,0.02,0.19,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,51,2009,0.86,0.38,1.58,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,12,2009,0.57,&lt RL,1.04,South Branch Chicago River,-9758326.630046986,5137947.951214144
39,Madison Street,South Branch Chicago River at Madison Street,"Phosphorous, total",mg/L,11,2009,0.67,0.3,1.21,South Branch Chicago River,-9755836.894673718,5143332.001117509
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,12,2009,0.59,0.23,1.12,Des Plaines River,-9803757.593335949,5100729.017568359
102,Oakton Street,North Shore Channel at Oakton Street,"Phosphorous, total",mg/L,11,2009,0.47,0.04,1.63,North Shore Channel,-9763838.713194087,5164984.791142569
17,Oakton Street,Des Plaines River at Oakton Street,"Phosphorous, total",mg/L,11,2009,0.55,0.17,1.55,Des Plaines River,-9782189.77125312,5164756.208222484
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,11,2009,0.65,0.23,1.71,Des Plaines River,-9775033.160497827,5134155.08934849
20,Roosevelt Road,Des Plaines River at Roosevelt Road,"Phosphorous, total",mg/L,11,2009,0.55,0.19,1.5,Des Plaines River,-9776892.815460142,5140724.864266957
90,Route 19,Poplar Creek at Route 19,"Phosphorous, total",mg/L,11,2009,0.07,0.04,0.13,Poplar Creek,-9823047.74711789,5165577.94301833
42,Route 83,Chicago Sanitary and Ship Canal at Route 83,"Phosphorous, total",mg/L,10,2009,0.63,0.19,1.14,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,10,2009,1.33,0.38,2.83,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,9,2009,0.17,0.07,0.38,West Branch Du Page River,-9809372.143319122,5162219.006850576
29,Stephen Street,Des Plaines River at Stephen Street,"Phosphorous, total",mg/L,11,2009,0.58,0.21,1.25,Des Plaines River,-9796385.089554068,5113414.579669373
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,10,2009,0.82,0.33,1.7,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,10,2009,1.05,0.32,1.59,North Shore Channel,-9763880.193364626,5162772.158302309
89,Walnut Street,West Branch Du Page River at Walnut Street,"Phosphorous, total",mg/L,12,2009,2.34,1.2,3.98,West Branch Du Page River,-9811290.549648687,5160344.011074602
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,12,2009,0.22,0.03,0.65,Chicago River,-9755339.676982595,5144145.544547021
52,Wentworth Avenue,Little Calumet River at Wentworth Avenue,"Phosphorous, total",mg/L,10,2009,0.49,0.28,0.79,Little Calumet River,-9743762.861862704,5099049.677060608
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,12,2009,0.96,0.09,2.37,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,11,2009,0.58,0.22,1.33,Des Plaines River,-9782918.22214516,5121485.94585754
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,"Phosphorous, total",mg/L,12,2009,1.03,0.26,1.46,North Branch Chicago River,-9762427.895694703,5155720.021993471
24,Wolf Road,Salt Creek at Wolf Road,"Phosphorous, total",mg/L,12,2009,1.12,0.29,2.53,Salt Creek,-9785016.345950183,5134927.534095098
55,130th Street,Calumet River at 130th Street,"Phosphorous, total",mg/L,9,2008,0.05,0.02,0.19,Calumet River,-9748530.69045206,5110104.230203494
97,170th Street,Thorn Creek at 170th Street,"Phosphorous, total",mg/L,11,2008,1.38,0.51,2.88,Thorn Creek,-9748874.28283881,5099238.777878965
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,12,2008,0.52,0.19,0.92,North Branch Chicago River,-9764088.462110577,5156857.124687181
