Station Number,Station Name,Station Description,Parameter Description,Units of Measure,Result Count,Year,Result Average,Result Min,Result Max,Waterway,x,y
127,Lincoln Street,Weller Creek at Lincoln Street,"Phosphorous, total",mg/L,12,2023,0.09,&lt RL,0.34,Weller Creek,-9791310.180190712,5169842.130070917
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,52,2023,0.9,0.38,2.3,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,12,2023,0.68,0.29,1.3,South Branch Chicago River,-9758326.630046986,5137947.951214144
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,12,2023,0.39,0.25,0.74,Des Plaines River,-9803757.593335949,5100729.017568359
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,12,2023,0.54,0.09,0.99,Des Plaines River,-9775033.160497827,5134155.08934849
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,12,2023,1.46,0.47,2.15,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,12,2023,0.16,0.02,0.36,West Branch Du Page River,-9809372.143319122,5162219.006850576
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,12,2023,0.84,0.5,1.25,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,12,2023,1.76,0.45,4.32,North Shore Channel,-9763880.193364626,5162772.158302309
128,Washington Avenue,Salt Creek at Washington Avenue,"Phosphorous, total",mg/L,6,2023,1.02,0.32,1.85,Salt Creek,-9778632.442307537,5135217.403079835
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,12,2023,0.33,&lt RL,0.74,Chicago River,-9755339.676982595,5144145.544547021
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,12,2023,0.31,0.12,1.34,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,12,2023,0.43,0.2,0.78,Des Plaines River,-9782918.22214516,5121485.94585754
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,"Phosphorous, total",mg/L,12,2023,1.19,0.29,2.94,North Branch Chicago River,-9762427.895694703,5155720.021993471
129,139th Street,Midlothian Creek at 139th Street,"Phosphorous, total",mg/L,10,2022,0.09,0.02,0.22,Midlothian Creek,-9762565.693509998,5107888.2094410425
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,11,2022,0.22,0.08,0.41,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,10,2022,0.63,0.17,1.11,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,12,2022,2.09,0.49,3.48,West Branch DuPage River,-9811547.219382191,5157233.888994125
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,11,2022,1.12,0.33,2.87,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,11,2022,0.28,0.13,0.75,Des Plaines River,-9779371.53102385,5151588.097147647
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,12,2022,0.29,0.13,0.7,Grand Calumet River,-9744810.951107476,5105915.20396417
130,Chatham Road,Midlothian Creek at Chatham Road,"Phosphorous, total",mg/L,10,2022,0.1,&lt RL,0.24,Midlothian Creek,-9759961.818484122,5107888.209656332
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,12,2022,0.76,0.42,1.2,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,11,2022,1.92,0.71,3.32,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
112,Dempster St.,North Shore Channel at Dempster Street,"Phosphorous, total",mg/L,9,2022,0.07,&lt RL,0.27,North Shore Channel,-9763803.492506059,5167131.2098396
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,12,2022,1.88,0.31,3.02,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,11,2022,0.98,0.22,1.66,North Branch Chicago River,-9760793.273420712,5150867.342273781
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,12,2022,0.06,&lt RL,0.11,Higgins Creek,-9789503.463971145,5164194.269628853
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,11,2022,1.63,0.8,3.12,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,12,2022,0.6,0.25,1.4,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,10,2022,0.08,0.02,0.17,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,11,2022,0.09,0.02,0.24,Little Calumet River,-9753472.181457821,5108772.571885121
127,Lincoln Street,Weller Creek at Lincoln Street,"Phosphorous, total",mg/L,12,2022,0.13,0.03,0.21,Weller Creek,-9791310.180190712,5169842.130070917
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,51,2022,0.96,0.19,2.19,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,12,2022,0.8,0.44,1.61,South Branch Chicago River,-9758326.630046986,5137947.951214144
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,11,2022,0.37,0.23,0.68,Des Plaines River,-9803757.593335949,5100729.017568359
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,11,2022,0.53,0.19,0.81,Des Plaines River,-9775033.160497827,5134155.08934849
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,11,2022,1.79,0.77,4,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,10,2022,0.19,0.03,0.46,West Branch Du Page River,-9809372.143319122,5162219.006850576
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,12,2022,0.87,0.41,1.73,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,11,2022,1.5,0.25,2.78,North Shore Channel,-9763880.193364626,5162772.158302309
128,Washington Avenue,Salt Creek at Washington Avenue,"Phosphorous, total",mg/L,11,2022,1.24,0.31,2.16,Salt Creek,-9778632.442307537,5135217.403079835
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,12,2022,0.37,0.01,0.94,Chicago River,-9755339.676982595,5144145.544547021
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,12,2022,0.25,0.12,0.48,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,11,2022,0.45,0.19,0.87,Des Plaines River,-9782918.22214516,5121485.94585754
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,"Phosphorous, total",mg/L,11,2022,0.98,0.22,1.73,North Branch Chicago River,-9762427.895694703,5155720.021993471
55,130th Street,Calumet River at 130th Street,"Phosphorous, total",mg/L,14,2021,0.02,&lt RL,0.07,Calumet River,-9748530.69045206,5110104.230203494
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,11,2021,0.34,0.22,0.59,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,10,2021,0.61,0.33,1.23,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,12,2021,2.47,0.16,3.75,West Branch DuPage River,-9811547.219382191,5157233.888994125
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,24,2021,1.13,0.34,6.24,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,12,2021,0.34,0.08,0.61,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,5,2021,1.34,0.39,2.17,Salt Creek,-9778479.118246686,5134478.740255858
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,24,2021,0.44,0.22,0.7,Grand Calumet River,-9744810.951107476,5105915.20396417
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,11,2021,1.65,0.37,3.32,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,10,2021,0.71,0.42,1.2,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
112,Dempster St.,North Shore Channel at Dempster Street,"Phosphorous, total",mg/L,10,2021,0.06,&lt RL,0.18,North Shore Channel,-9763803.492506059,5167131.2098396
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,12,2021,2.21,0.24,4.48,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,12,2021,0.99,0.49,1.71,North Branch Chicago River,-9760793.273420712,5150867.342273781
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,11,2021,0.13,&lt RL,0.25,Higgins Creek,-9789503.463971145,5164194.269628853
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,11,2021,1.42,0.84,1.93,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,10,2021,0.66,0.23,1.3,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,10,2021,0.08,&lt RL,0.19,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,10,2021,0.14,0.02,0.21,Little Calumet River,-9753472.181457821,5108772.571885121
127,Lincoln Street,Weller Creek at Lincoln Street,"Phosphorous, total",mg/L,3,2021,0.28,0.01,0.69,Weller Creek,-9791310.180190712,5169842.130070917
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,49,2021,1,0.38,1.9,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,10,2021,0.8,0.32,1.32,South Branch Chicago River,-9758326.630046986,5137947.951214144
